a;un
ability;capacidad
able;poder
about;acerca de
above;encima
accept;aceptar
according;conforme
account;cuenta
across;a través de
act;acto
action;acción
activity;actividad
actually;actualmente
add;añadir
address;dirección
administration;administración
admit;admitir
adult;adulto
affect;afectar
after;después
again;de nuevo
against;en contra
age;años
agency;agencia
agent;agente
ago;hace
agree;de acuerdo
agreement;acuerdo
ahead;adelante
air;aire
all;todas
allow;permitir
almost;casi
alone;solo
along;a lo largo
already;ya
also;además
although;a pesar de que
always;siempre
American;americano
among;entre
amount;cantidad
analysis;análisis
and;y
animal;animal
another;otro
answer;responder
any;alguna
anyone;nadie
anything;cualquier cosa
appear;Aparecer
apply;aplicar
approach;enfoque
area;zona
argue;zona
arm;brazo
around;alrededor
arrive;llegar
art;arte
article;artículo
artist;artista
as;como
ask;pedir
assume;asumir
at;a
attack;ataque
attention;atención
attorney;abogado
audience;audiencia
author;autor
authority;autoridad
available;disponible
avoid;evitar
away;lejos
baby;bebé
back;espalda
bad;malo
bag;bolso
ball;pelota
bank;banco
bar;bar
base;base
be;ser
beat;golpear
beautiful;hermosa
because;porque
become;volverse
bed;cama
before;antes de
begin;empezar
behavior;comportamiento
behind;detrás
believe;creer
benefit;beneficio
best;mejor
better;mejor
between;entre
beyond;mas alla
big;grande
bill;cuenta
billion;mil millones
bit;poco
black;negro
blood;sangre
blue;azul
board;tablero
body;cuerpo
book;libro
born;nacido
both;ambos
box;caja
boy;niño
break;descanso
bring;traer
brother;hermano
budget;presupuesto
build;contruir
building;edificio
business;negocio
but;pero
buy;comprar
by;por
call;llamada
camera;camara
campaign;campaña
can;poder
cancer;cancer
candidate;candidato
capital;capital
car;carro
card;tarjeta
care;cuidado
career;carrera
carry;llevar
case;caso
catch;captura
cause;porque
cell;celda
center;centrar
central;central
century;siglo
certain;cierto
certainly;ciertamente
chair;silla
challenge;reto
chance;oportunidad
change;cambio
character;personaje
charge;cargar
check;comprobar
child;niño
choice;eleccion
choose;escoger
church;iglesia
citizen;ciudadano
city;ciudad
civil;civil
claim;reclamo
class;clase
clear;claro
clearly;claramente
close;cerrar
coach;entrenador
cold;frio
collection;coleccion
college;universidad
color;color
come;ven
commercial;comercial
common;común
community;comunidad
company;empresa
compare;comparar
computer;computadora
concern;preocupacion
condition;condicion
conference;conferencia
congress;congreso
consider;considerar
consumer;consumidor
contain;contiene
continue;continuar
control;control
cost;costo
could;podria
country;pais
couple;pareja
course;curso
court;corte
cover;cubrir
create;crear
crime;crimen
cultural;cultural
culture;cultura
cup;taza
current;corriente
customer;cliente
cut;cortar
dark;oscuro
data;datos
daughter;hija
day;día
dead;muerte
deal;acuero
death;muerte
debate;debate
decade;década
decide;decidir
decision;decision
deep;profundo
